epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.671875,,0.6416115760803223,,,49
0,,0.640625,,0.6768253445625305,,,99
0,,0.6875,,0.604521632194519,,,149
0,,0.609375,,0.6449896097183228,,,199
0,,0.546875,,0.7202165126800537,,,249
0,,0.71875,,0.5857592821121216,,,299
0,,0.59375,,0.6224780678749084,,,349
0,,0.546875,,0.6479487419128418,,,399
0,,0.609375,,0.6569728255271912,,,449
0,,0.625,,0.6634126901626587,,,499
0,,,,,0.88246750831604,0.37426552176475525,499
0,0.6530625224113464,,0.6220284104347229,,,,499
